"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","chr","pos","strand","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_Island","chr_numeric","pos_mbp"
"cg15582789",0.527672235669818,-1.02493505867335,14.7009201424229,4.29618749438526e-33,2.35348876759456e-26,64.2676791155431,"chr9",99145525,"-","SLC35D2","Body","Island",9,99.145525
"cg05981335",0.45284499290277,-1.16064234253371,13.9288358995352,8.78081305313794e-31,1.20255138526402e-24,59.0770334709572,"chr12",81102562,"+","MYF6","Body","Island",12,81.102562
"cg12444385",0.559848014198868,-2.057602760697,13.6773059190774,4.97994262036079e-30,4.54675959231367e-24,57.3828546230439,"chr6",149067627,"+","UST","TSS1500","N_Shore",6,149.067627
"cg04729562",0.600662228984433,-1.57003843703648,13.3160993364836,6.0206551321524e-29,4.71166727828853e-23,54.9490237873578,"chr5",129239837,"-","CHSY3","TSS1500","Island",5,129.239837
"cg01661350",0.639060798966319,-1.53818070302758,13.076978790053,3.13285644726591e-28,2.10382095493594e-22,53.3379984291176,"chr13",70682098,"-","KLHL1;KLHL1;ATXN8OS","1stExon;5'UTR;Body","Island",13,70.682098
"cg05860723",0.708384898970883,0.123804711998212,13.0627259777077,3.45638715651633e-28,2.10382095493594e-22,53.2419925274552,"chr12",81102486,"-","MYF6","Body","Island",12,81.102486
"cg07489048",0.549368915503812,0.658819437844288,13.0094891605605,4.98919721505361e-28,2.48465954783663e-22,52.8834202545101,"chr14",29236898,"-","FOXG1","1stExon","Island",14,29.236898
"cg03456968",0.676676277922673,-0.966679186886889,12.8009416366825,2.09989471053696e-27,7.66893689011295e-22,51.4792835855059,"chr17",44929245,"+","WNT9B","Body","Island",17,44.929245
"cg13294780",0.841188306362596,-1.39135351096507,12.6309435830456,6.769537164176e-27,2.06116048554794e-21,50.3355117319736,"chr4",140005756,"-","ELF2;ELF2","Body;TSS200","Island",4,140.005756
"cg22827060",0.75150965200407,-1.60723672680907,12.6071197938179,7.9756271754268e-27,2.08053225446098e-21,50.1752940579988,"chr13",30424359,"-","UBL3;UBL3","1stExon;5'UTR","Island",13,30.424359
"cg11658419",0.480237263611438,-0.568318107839711,12.5879364169466,9.10110381607646e-27,2.21933663860083e-21,50.0462979363733,"chr12",58290850,"-","","","S_Shore",12,58.29085
"cg00177388",0.566419417683616,-1.44631980398125,12.5368192961249,1.29367346644516e-26,2.95285643394375e-21,49.7026322157687,"chr5",72677886,"-","","","Island",5,72.677886
"cg16521454",0.421944983653427,-0.637575640191347,12.5233747086049,1.41901559149546e-26,3.01732029980466e-21,49.6122590502723,"chr5",150158951,"+","C5orf62","Body","S_Shore",5,150.158951
"cg24518943",0.681331765584147,-1.39565813294326,12.5220427603467,1.4320753166264e-26,3.01732029980466e-21,49.6033062053444,"chr6",71123805,"+","FAM135A;FAM135A","5'UTR;5'UTR","Island",6,71.123805
"cg20448129",0.629526000100633,-1.76901145581172,12.486685580418,1.82628950005679e-26,3.70539713484282e-21,49.3656741948017,"chr11",89955954,"-","CHORDC1;CHORDC1","Body;Body","Island",11,89.955954
"cg15104066",0.889551962384249,-1.66721309590219,12.4570986017343,2.23831013383573e-26,4.37916322425411e-21,49.1668617192754,"chr12",90102578,"-","LOC338758","TSS200","Island",12,90.102578
"cg23632875",0.890089741640859,-1.83825416866536,12.4093223227772,3.10848581262309e-26,5.87191546939648e-21,48.8459020863102,"chr10",133110244,"+","TCERG1L","TSS1500","Island",10,133.110244
"cg00865356",0.58014816915436,-0.902868417819096,12.3227939921638,5.63301433431596e-26,9.64316907493402e-21,48.2648663861352,"chr4",91048559,"+","FAM190A","TSS200","Island",4,91.048559
"cg18452149",0.719978998019387,-1.28627758112995,12.3176626656089,5.83508181494634e-26,9.68638915840659e-21,48.2304206638923,"chr3",108308268,"+","KIAA1524;DZIP3;KIAA1524","5'UTR;TSS200;1stExon","Island",3,108.308268
"cg02963114",0.74797494304973,-1.75427041053935,12.2758313616731,7.77680949078385e-26,1.09235991858927e-20,47.9496623782721,"chr12",26348437,"+","SSPN;SSPN;SSPN","5'UTR;1stExon;TSS200","Island",12,26.348437
"cg18710278",0.497365516476409,-1.56921811733975,12.2869461389638,7.2053921104629e-26,1.09235991858927e-20,48.0242527293228,"chr5",19988366,"+","CDH18;CDH18","TSS200;TSS200","OpenSea",5,19.988366
"cg14156760",0.621396785897711,-1.145016818278,12.2546921691496,8.99144574942523e-26,1.1845848851285e-20,47.8078162673865,"chr5",110559964,"+","CAMK4","TSS200","Island",5,110.559964
"cg27134659",0.782818667628761,-0.95385486835828,12.2533475127358,9.07482699049258e-26,1.1845848851285e-20,47.7987942612036,"chr14",94640653,"+","PPP4R4;PPP4R4;PPP4R4;PPP4R4","1stExon;1stExon;5'UTR;5'UTR","Island",14,94.640653
"cg23913350",0.535378558975382,-2.0450113525739,12.2355396932069,1.02547396990815e-25,1.27673530458088e-20,47.6793210888888,"chr5",121414270,"-","LOX","TSS1500","S_Shore",5,121.41427
"cg22891988",0.662297605815881,-1.78604048439368,12.2258232801957,1.09619192920098e-25,1.33445210090936e-20,47.6141403929272,"chr11",30607959,"-","MPPED2","TSS200","Island",11,30.607959
"cg06368118",0.545353713408411,-2.06677636381989,12.2109594587224,1.21391141299656e-25,1.44563304247939e-20,47.5144389816142,"chr1",107684339,"+","NTNG1;NTNG1;NTNG1","5'UTR;5'UTR;5'UTR","Island",1,107.684339
"cg04574592",0.692809724059879,-1.09839577545742,12.1969626201478,1.33628256986856e-25,1.50511159413526e-20,47.4205638359022,"chr4",100867853,"-","DNAJB14;DNAJB14","1stExon;5'UTR","Island",4,100.867853
"cg19109538",0.675818855211576,-1.67997600909099,12.1958761346291,1.34628149992987e-25,1.50511159413526e-20,47.4132773495873,"chr13",88325263,"+","SLITRK5","5'UTR","N_Shore",13,88.325263
"cg02390319",0.892341192484227,-2.52544803985553,12.1400061286796,1.97505517339598e-25,2.16390470483043e-20,47.0386747300927,"chr1",3310268,"-","PRDM16;PRDM16","Body;Body","Island",1,3.310268
"cg00384210",0.724689561434298,-1.45056298053289,12.1202928637847,2.26093241455607e-25,2.42854585168386e-20,46.906541534574,"chr12",126168486,"+","","","Island",12,126.168486
"cg22380921",0.501477985903775,-0.69950591152052,12.1013683927338,2.57416776864675e-25,2.71182966889548e-20,46.7797167294101,"chr3",85008786,"+","CADM2;CADM2","1stExon;1stExon","Island",3,85.008786
"cg26832294",0.531613541204939,-1.01843860336595,12.0909670450385,2.76441703995555e-25,2.85730495955203e-20,46.7100197562371,"chr4",122078348,"+","TNIP3;TNIP3","Body;Body","OpenSea",4,122.078348
"cg11632238",0.412664844056122,-1.67313051509854,12.0091122104877,4.84387722691845e-25,4.65529465412227e-20,46.1617601358636,"chr3",44040539,"+","","","Island",3,44.040539
"cg22199115",0.642851651330248,-0.881049969504034,11.9590186221215,6.82602681972708e-25,6.33789269448247e-20,45.8264454362264,"chr12",90102575,"-","LOC338758","TSS200","Island",12,90.102575
"cg27388911",0.48326419513825,-1.08044334227854,11.9545914160042,7.03607600404486e-25,6.42403909090046e-20,45.7968187019518,"chr3",24537277,"+","THRB;THRB;THRB","TSS1500;TSS1500;TSS1500","Island",3,24.537277
"cg06127862",0.807801160543566,-2.16177055406737,11.9370523912357,7.93359183386178e-25,7.1247383765775e-20,45.6794609791009,"chr3",192233127,"-","FGF12","Body","Island",3,192.233127
"cg09469566",0.546290280900736,-0.529483955557537,11.9235173803203,8.70361438472988e-25,7.6901861951709e-20,45.5889092858884,"chr13",112717244,"-","","","Island",13,112.717244
"cg06931933",0.4114100945617,-1.52315235680601,11.9203308790789,8.89549180284665e-25,7.7349643725146e-20,45.567592830491,"chr11",24518737,"-","LUZP2;LUZP2","5'UTR;1stExon","Island",11,24.518737
"cg04670857",0.423398329682361,-1.37484789707225,11.8842571641842,1.13856790787235e-24,9.74558396915585e-20,45.3263227125225,"chr2",79740208,"+","CTNNA2;CTNNA2;CTNNA2;CTNNA2","1stExon;1stExon;5'UTR;5'UTR","Island",2,79.740208
"cg16560309",0.832263071492927,-1.49432838646504,11.879338602171,1.17752637783482e-24,9.9239871036011e-20,45.2934331847713,"chr5",65222276,"+","ERBB2IP;ERBB2IP","TSS200;TSS200","Island",5,65.222276
"cg25497250",0.645656786331427,-1.66923075184812,11.8348209725331,1.59655631945193e-24,1.32516272384665e-19,44.9958306152934,"chr10",95326974,"-","GPR120","1stExon","Island",10,95.326974
"cg23290343",0.775693380863209,-1.83068695531572,11.8317761140236,1.6301396434429e-24,1.332842737117e-19,44.9754808316444,"chr5",107717310,"-","FBXL17","1stExon","Island",5,107.71731
"cg03689120",0.847433916146275,-0.896751059044823,11.8159377637966,1.8165435423024e-24,1.46340927386626e-19,44.8696389710093,"chr13",20767179,"+","GJB2","TSS200","Island",13,20.767179
"cg01311151",0.404803776644844,-1.25115923020471,11.7617525182771,2.63054864207111e-24,2.02963008344207e-19,44.5076810499846,"chr12",85671976,"+","","","N_Shore",12,85.671976
"cg04611203",0.604593774284817,-1.86213024422635,11.757543969749,2.70726878590128e-24,2.03387949627148e-19,44.4795772780394,"chr20",2781438,"-","CPXM1","TSS200","Island",20,2.781438
"cg05209584",0.5490156369219,-1.76198639337912,11.7573795346104,2.7103112950508e-24,2.03387949627148e-19,44.4784792437362,"chr5",127873283,"-","FBN2","1stExon","Island",5,127.873283
"cg27591117",0.58158206724912,-1.30151249953546,11.743337440497,2.98312669900474e-24,2.17891023536398e-19,44.3847193113399,"chr20",8113191,"-","PLCB1;PLCB1","TSS200;TSS200","Island",20,8.113191
"cg23142394",0.865124017174354,-1.2920288729143,11.7352528081699,3.15246047414072e-24,2.27099836164885e-19,44.3307447017825,"chr12",72665771,"+","LOC283392;TRHDE;LOC283392","Body;TSS1500;Body","Island",12,72.665771
"cg27371984",1.05058924232514,-0.875478130974003,11.710857245937,3.72382636267719e-24,2.54993046988959e-19,44.1679063479354,"chr17",78009155,"-","CCDC40;TBC1D16","TSS1500;5'UTR","Island",17,78.009155
"cg18210226",0.75692714005959,-1.73781262494243,11.6987106052798,4.04575526885172e-24,2.73617262049861e-19,44.086846221598,"chr6",123317714,"+","CLVS2;CLVS2","5'UTR;1stExon","Island",6,123.317714
"cg03241323",0.793517179792313,-1.92705889948344,11.6783275068647,4.64960000956914e-24,3.06878458836132e-19,43.9508471954268,"chr2",187454863,"+","ITGAV;ITGAV;ITGAV;ITGAV","5'UTR;1stExon;1stExon;5'UTR","Island",2,187.454863
"cg20712263",0.535591987981322,-1.62156019039949,11.6495431799515,5.65856997717552e-24,3.60443454275069e-19,43.7588518887007,"chr12",131438527,"-","GPR133;GPR133","5'UTR;1stExon","OpenSea",12,131.438527
"cg11429292",0.568256488632614,-1.73408040184567,11.6049122791983,7.67168500834704e-24,4.82943812105602e-19,43.4612948273519,"chr12",6888035,"-","","","OpenSea",12,6.888035
"cg10012627",0.697421819506844,-1.54196173658838,11.5939351844757,8.26780118039353e-24,5.0324146534809e-19,43.3881358404512,"chr15",38545011,"+","SPRED1","TSS200","Island",15,38.545011
"cg16360987",0.564102470548322,-2.63236810869908,11.5911315125309,8.42732887184964e-24,5.07314707801892e-19,43.3694518894191,"chr14",96829588,"-","ATG2B;ATG2B","1stExon;5'UTR","Island",14,96.829588
"cg11941228",0.825470079771687,-0.92165014459802,11.5842999174622,8.82902464339442e-24,5.25719159598675e-19,43.3239283074352,"chr5",65891968,"+","MAST4;MAST4","TSS1500;TSS1500","Island",5,65.891968
"cg17967577",0.701797296600537,-1.0797126565285,11.5719470103706,9.60450427307322e-24,5.65745240290306e-19,43.2416227733864,"chr13",88324711,"+","SLITRK5","TSS200","N_Shore",13,88.324711
"cg14784335",0.436739724027616,-0.146138237074056,11.5659189620469,1.00072470717772e-23,5.83197524741325e-19,43.2014636587573,"chr3",27770490,"-","","","N_Shore",3,27.77049
"cg25385529",0.849282536816445,-1.81623525033198,11.5595055893921,1.04542540265245e-23,6.02834844104545e-19,43.158741009034,"chr11",30607962,"-","MPPED2","TSS200","Island",11,30.607962
"cg04259977",0.70501295607856,-0.892342464043734,11.5449015132341,1.15479057998689e-23,6.38994236868177e-19,43.0614696172287,"chr5",45696491,"+","HCN1","TSS1500","Island",5,45.696491
"cg26569670",0.616925122813527,-1.27457582171527,11.5348059769077,1.23699698315838e-23,6.77637675082001e-19,42.9942387580979,"chr8",71315609,"+","NCOA2","5'UTR","Island",8,71.315609
"cg09858692",0.834260937844371,-1.51528099916492,11.5279537733083,1.29609553718281e-23,6.89332403399707e-19,42.9486119657556,"chr14",65878633,"+","FUT8;FUT8;FUT8;FUT8;LOC645431;FUT8;FUT8","1stExon;5'UTR;1stExon;TSS1500;Body;TSS1500;5'UTR","Island",14,65.878633
"cg13837552",0.857559013542015,-0.941325415212822,11.5143227680277,1.4221681833744e-23,7.41977204224137e-19,42.8578597492828,"chr12",112819996,"-","","","Island",12,112.819996
"cg01305328",0.595513877911124,-2.53255883231023,11.5093754429706,1.47089231651592e-23,7.47625392707806e-19,42.824925726142,"chr10",105727248,"-","SLK","TSS1500","Island",10,105.727248
"cg04128483",0.526635738870773,-1.73415923925641,11.5094688593966,1.46995704310009e-23,7.47625392707806e-19,42.8255475725901,"chr21",38446099,"+","PIGP;PIGP;TTC3;PIGP","TSS1500;TSS1500;5'UTR;TSS1500","Island",21,38.446099
"cg27003782",0.571754908332241,-1.45656320179638,11.5090717543143,1.47393691417211e-23,7.47625392707806e-19,42.8229041630587,"chr10",125651391,"-","CPXM2;CPXM2","1stExon;5'UTR","S_Shore",10,125.651391
"cg04771248",0.718897984458253,-1.79470842910278,11.4973819113823,1.59603796490802e-23,7.94839489658427e-19,42.7450948435501,"chr7",157072050,"-","","","Island",7,157.07205
"cg26122980",0.666663817040824,-1.25835387489973,11.4865889579508,1.71771301920933e-23,8.47728007732278e-19,42.6732665030663,"chr7",38671001,"-","AMPH;AMPH;AMPH;AMPH","5'UTR;5'UTR;1stExon;1stExon","Island",7,38.671001
"cg01282432",0.559171272780745,-2.19279957210091,11.4778861098203,1.82253320116486e-23,8.83539374600452e-19,42.6153558994654,"chr14",57046857,"+","C14orf101","Body","S_Shore",14,57.046857
"cg00911794",0.520387613025935,-0.270622849917861,11.4696262326876,1.92791540004698e-23,9.18372848487485e-19,42.5603994361436,"chr17",1962132,"+","HIC1;HIC1","3'UTR;3'UTR","Island",17,1.962132
