"X","PROBEID","SYMBOL","GENENAME"
23,"232676_x_at","MYEF2","myelin expression factor 2"
40,"219597_s_at","DUOX1","dual oxidase 1"
60,"232049_at","SNX2","sorting nexin 2"
111,"231969_at","STOX2","storkhead box 2"
126,"232599_at","EXOC6","exocyst complex component 6"
130,"220338_at","RALGPS2","Ral GEF with PH domain and SH3 binding motif 2"
161,"1562244_at","ZNF578","zinc finger protein 578"
163,"223737_x_at","CHST9","carbohydrate sulfotransferase 9"
186,"236081_at","SNCA","synuclein alpha"
196,"241620_at","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1"
197,"1557436_at","XKR6","XK related 6"
205,"241782_at","NEBL","nebulette"
208,"206850_at","RASL10A","RAS like family 10 member A"
227,"213870_at","COL11A2","collagen type XI alpha 2 chain"
245,"207173_x_at","CDH11","cadherin 11"
257,"205976_at","FASTKD2","FAST kinase domains 2"
262,"1553682_at","FBXL14","F-box and leucine rich repeat protein 14"
271,"206723_s_at","LPAR2","lysophosphatidic acid receptor 2"
302,"210739_x_at","SLC4A4","solute carrier family 4 member 4"
349,"228060_at","SLC35F1","solute carrier family 35 member F1"
358,"207884_at","GUCY2D","guanylate cyclase 2D, retinal"
368,"215736_at","KCNV1","potassium voltage-gated channel modifier subfamily V member 1"
387,"1555932_at","TSGA10","testis specific 10"
392,"211873_s_at","PCDHGA9","protocadherin gamma subfamily A, 9"
393,"1554642_at","RNF32","ring finger protein 32"
419,"209775_x_at","SLC19A1","solute carrier family 19 member 1"
432,"243613_at","DENND5B","DENN domain containing 5B"
433,"1556127_at","DIP2A","disco interacting protein 2 homolog A"
474,"1555365_x_at","C11orf58","chromosome 11 open reading frame 58"
502,"1569600_at","DLEU2","deleted in lymphocytic leukemia 2"
515,"207115_x_at","MBTD1","mbt domain containing 1"
517,"234317_s_at","STOX2","storkhead box 2"
528,"235930_at","KCNMB4","potassium calcium-activated channel subfamily M regulatory beta subunit 4"
538,"1553564_at","MACROD2","mono-ADP ribosylhydrolase 2"
578,"1569206_at","TCP11L2","t-complex 11 like 2"
