"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","chr","pos","strand","UCSC_RefGene_Name","UCSC_RefGene_Group","Relation_to_Island","chr_numeric","pos_mbp"
"cg16411857",-0.916323817896359,-1.52448758444973,-14.2554133419139,9.2363350304624e-32,2.52987221534704e-25,61.2748390428561,"chr16",57023191,"-","NLRC5","TSS1500","Island",16,57.023191
"cg07839457",-1.65146725111192,-1.15296207109436,-14.092608667843,2.83769749168372e-31,5.18171765178396e-25,60.1795194889029,"chr16",57023022,"-","NLRC5","TSS1500","N_Shore",16,57.023022
"cg02384530",-0.677685278453409,-1.1487655781539,-13.6916470695739,4.51073652338655e-30,4.54675959231367e-24,57.4794715075087,"chr12",6961868,"-","USP5;USP5;CDCA3","Body;Body;TSS1500","Island",12,6.961868
"cg00676801",-0.545642637273932,1.21003593330427,-13.0191800661373,4.66675431771175e-28,2.48465954783663e-22,52.948689217362,"chr2",191876673,"-","STAT1;STAT1","5'UTR;5'UTR","N_Shore",2,191.876673
"cg26148059",-0.597681271710733,-1.53794502862103,-12.9259830239538,8.87193517869272e-28,4.05010252640057e-22,52.321069570284,"chr6",33256755,"-","PFDN6;WDR46;WDR46","TSS1500;Body;Body","Island",6,33.256755
"cg05616584",-0.558889250255391,1.7313338117604,-12.8814122669289,1.20619039402776e-27,4.71972541707e-22,52.0209756981439,"chr5",133447785,"-","","","N_Shore",5,133.447785
"cg10887309",-0.668032031973827,-0.347810385688875,-12.7629793074202,2.7274527998315e-27,9.33826435784179e-22,51.223794917541,"chr12",49412603,"+","PRKAG1;PRKAG1","TSS200;TSS200","Island",12,49.412603
"cg14788660",-0.560303671047322,-1.19566027728853,-12.6307733451794,6.77747348861816e-27,2.06116048554794e-21,50.334366794844,"chr1",155278430,"+","FDPS;FDPS;FDPS","TSS200;TSS200;TSS1500","Island",1,155.27843
"cg26912426",-0.51373969346011,1.35625277877476,-12.6230220041914,7.14885528468749e-27,2.06116048554794e-21,50.28223607674,"chr6",33243775,"-","B3GALT4;RPS18","TSS1500;Body","N_Shore",6,33.243775
"cg15498134",-0.487487731053255,0.796471280228716,-12.5845137032473,9.31798733051361e-27,2.21933663860083e-21,50.0232837080844,"chr1",25246854,"+","RUNX3;RUNX3","Body;Body","OpenSea",1,25.246854
"cg06796709",-0.417609293209413,2.00927242523268,-12.3445817930463,4.85002427362093e-26,8.85628452780946e-21,48.4111382303798,"chr16",84645176,"-","COTL1","Body","OpenSea",16,84.645176
"cg04876223",-0.848009242436178,-0.227373204759334,-12.3327728862513,5.259849955675e-26,9.29481103592286e-21,48.3318566294389,"chr3",182403247,"-","","","S_Shelf",3,182.403247
"cg14353218",-0.64538036547179,1.45102325108411,-12.3081478963899,6.22911978564905e-26,1.00363701172709e-20,48.1665530148492,"chr14",48095792,"-","MDGA2","Body","OpenSea",14,48.095792
"cg02162720",-0.862336749555125,0.591468582942418,-12.2983028670203,6.66483285848405e-26,1.04315806852584e-20,48.1004731613262,"chr11",23754485,"+","","","S_Shelf",11,23.754485
"cg10482201",-0.586779684539263,0.741204876121481,-12.2768465594677,7.72279135242473e-26,1.09235991858927e-20,47.9564750289958,"chr16",3493423,"+","ZNF597;ZNF597;NAT15","1stExon;5'UTR;TSS1500","Island",16,3.493423
"cg11882053",-0.505793276237712,2.68826949969066,-12.2777695154222,7.67400666722884e-26,1.09235991858927e-20,47.9626687208715,"chr13",48890459,"-","RB1","Body","N_Shore",13,48.890459
"cg17819896",-1.59713778501935,0.815286058181333,-12.205593020049,1.25944686997409e-25,1.46794876122042e-20,47.478445659416,"chr19",4688966,"-","DPP9","Body","Island",19,4.688966
"cg25133706",-0.569667273898826,0.868382893274977,-12.0767641651189,3.04707576913738e-25,3.09113802172644e-20,46.6148600677649,"chr14",62522891,"+","SYT16","Body","N_Shore",14,62.522891
"cg07784294",-0.627549626591982,0.100498492739936,-12.050236763473,3.65456582824694e-25,3.57500509731626e-20,46.4371585374383,"chr11",11873490,"+","USP47","Body","OpenSea",11,11.87349
"cg08668662",-0.595446181038346,-1.6080187683063,-12.0517768090715,3.61620262633217e-25,3.57500509731626e-20,46.4474738007333,"chr20",30539908,"-","PDRG1","TSS200","Island",20,30.539908
"cg14548264",-0.517308601196774,0.4700987213678,-11.972703394641,6.21552721461338e-25,5.87055122686007e-20,45.9180317693552,"chr9",134109022,"-","NUP214","3'UTR","OpenSea",9,134.109022
"cg26790059",-0.435433539315687,2.12382777483045,-11.8010152917622,2.01159225123772e-24,1.59705460944977e-19,44.7699346177592,"chr5",156772562,"-","CYFIP2;C5orf40;CYFIP2;CYFIP2;C5orf40","Body;1stExon;Body;Body;5'UTR","OpenSea",5,156.772562
"cg25783241",-1.14739580478489,0.823047187274863,-11.7710054826562,2.46941676440803e-24,1.93252559894738e-19,44.5694751337125,"chr21",45713607,"+","AIRE;AIRE","Body;Body","Island",21,45.713607
"cg08556938",-0.615932821052769,1.96427318183175,-11.7492886061852,2.86430881279549e-24,2.12039622705906e-19,44.424453740345,"chr17",58512855,"-","","","OpenSea",17,58.512855
"cg18326115",-0.841019755098342,1.75130055993155,-11.7193172932222,3.514838818657e-24,2.43729010997218e-19,44.224371113415,"chr1",172717488,"+","","","OpenSea",1,172.717488
"cg04791456",-0.963982214592522,1.7643946620728,-11.6791058869422,4.62496806904149e-24,3.06878458836132e-19,43.9560400409387,"chr3",57505743,"-","DNAH12;DNAH12","Body;Body","OpenSea",3,57.505743
"cg20135243",-0.550692658003635,-1.49127086399086,-11.6684318302653,4.97440407871462e-24,3.2440734455263e-19,43.8848340044073,"chr8",27183285,"-","PTK2B;PTK2B;PTK2B;PTK2B","5'UTR;5'UTR;5'UTR;5'UTR","Island",8,27.183285
"cg13781475",-0.937745803701638,0.162685705710049,-11.6032709759546,7.75801070849349e-24,4.82943812105602e-19,43.4503553826704,"chr9",114992318,"+","ROD1;ROD1;ROD1","Body;Body;Body","OpenSea",9,114.992318
"cg17722656",-0.678570831229504,-0.116286883379223,-11.6005695093081,7.90221272975506e-24,4.86393333073158e-19,43.4323503506041,"chr6",117087594,"-","FAM162B","TSS1500","S_Shore",6,117.087594
"cg03496777",-0.549000654157363,0.620550363594288,-11.5536667376941,1.08785228092936e-23,6.14365890475687e-19,43.1198486888708,"chr12",15904057,"-","EPS8","5'UTR","OpenSea",12,15.904057
"cg19074437",-0.639247428103719,0.148938867578054,-11.5540868490087,1.08474306758981e-23,6.14365890475687e-19,43.1226469299944,"chr6",29396270,"-","OR11A1","TSS1500","OpenSea",6,29.39627
"cg23720974",-0.558277895465935,1.31771342501967,-11.5506280901923,1.11060748589206e-23,6.20816747328334e-19,43.099609594754,"chr3",160092111,"-","IFT80","Body","OpenSea",3,160.092111
"cg07050647",-0.618853443042874,-1.644596329237,-11.5282652176305,1.29334927647461e-23,6.89332403399707e-19,42.9506856894573,"chr2",122287957,"+","CLASP1;CLASP1;CLASP1;RNU4ATAC","Body;Body;Body;TSS1500","Island",2,122.287957
"cg16500605",-0.683159178838262,0.478648336079175,-11.5293918702154,1.28346306669085e-23,6.89332403399707e-19,42.9581874762796,"chr6",31620861,"-","BAT3;BAT3;BAT3;BAT3","TSS1500;TSS1500;TSS1500;TSS1500","Island",6,31.620861
"cg03476105",-1.19864412023962,-0.719932802874773,-11.5231210731375,1.33946287510394e-23,7.05547480108582e-19,42.9164349930114,"chr7",96770912,"+","ACN9","Body","OpenSea",7,96.770912
"cg01659197",-0.633330343507828,0.454306857519912,-11.5009043648307,1.55821967399297e-23,7.83125000813228e-19,42.7685394954384,"chr14",30440586,"+","","","OpenSea",14,30.440586
"cg14037088",-0.668218316682571,0.733230429203465,-11.4784241228989,1.81587195760859e-23,8.83539374600452e-19,42.6189357490366,"chr18",48597043,"+","SMAD4","Body","OpenSea",18,48.597043
"cg00583731",-1.24474844403214,0.965019414020761,-11.4664515399306,1.97001797692413e-23,9.30276310030186e-19,42.5392785552007,"chr17",66707367,"-","","","OpenSea",17,66.707367
"cg09900527",-0.609690716021378,1.92709756138356,-11.4651999482431,1.98686756455801e-23,9.30276310030186e-19,42.5309521130961,"chr5",179859512,"+","","","OpenSea",5,179.859512
"cg25540028",-0.75625177308763,1.2034025375053,-11.4026601364798,3.04020415882462e-23,1.31137811339349e-18,42.1150839896056,"chr13",49001184,"-","LPAR6;LPAR6;RB1","TSS200;5'UTR;Body","OpenSea",13,49.001184
"cg27190138",-0.548165350667613,-1.34330116170107,-11.3776194273457,3.60430785069923e-23,1.5013589738759e-18,41.9486779213415,"chr10",98479757,"-","PIK3AP1","Body","Island",10,98.479757
"cg05488343",-0.570369520730778,0.854270432122818,-11.3682607610069,3.84097211243307e-23,1.58204348387999e-18,41.8865014995246,"chr10",14459556,"+","","","OpenSea",10,14.459556
"cg16190127",-0.703724422261881,0.106909438577474,-11.3663006182469,3.89247139171994e-23,1.59129073535452e-18,41.8734799476106,"chr6",169902667,"-","WDR27","Body","OpenSea",6,169.902667
